"dr_eq_id";"dr_eq_type_id";"pant_name";"pant_model";"pant_size";"pant_color"
1;3;Bauer Vapor Hyperlite;Sr;XL;NAV
2;3;Bauer Supreme Ultrasonic;Sr;M;
3;3;Bauer Supreme Ultrasonic;Sr;XL;
4;3;Bauer Supreme Ultrasonic;Sr;M;
5;3;Bauer Supreme 3S;Sr;XL;NAV
6;3;Bauer Girdle ACP PRO;INT;L;
7;3;Bauer Supreme 3S;Sr;M;NAV
8;3;Bauer Vapor Hyperlite;INT;L;NAV
9;3;Bauer Supreme Ultrasonic;Sr;M;NAV
10;3;Bauer Supreme 3S;Sr;L;NAV
11;3;Bauer Vapor Hyperlite;Sr.L;NAV
12;3;Bauer Vapor Hyperlite;SR;XL;NAV
13;3;Bauer Girdle ACP PRO;SR;XL;
14;3;Bauer Vapor Hyperlite;SR;L;NAV
15;3;Bauer Vapor Hyperlite;SR;L;NAV
16;3;CCM Jet Speed FT4 PRO;SR;XL;NAV
17;3;Bauer Supreme 3S;Sr;L;BLK
